GEOID1,GEOID,HD01_VD01,HD01_VD02,Ratio
1400000US,4001942600,268,92,0.34
1400000US,4001942700,853,307,0.36
1400000US,4001944000,1083,377,0.35
1400000US,4001944100,959,383,0.4
1400000US,4001944201,815,341,0.42
1400000US,4001944202,697,310,0.44
1400000US,4001944300,1189,419,0.35
1400000US,4001944901,645,238,0.37
1400000US,4001944902,847,389,0.46
1400000US,4001945001,954,261,0.27
1400000US,4001945002,663,211,0.32
1400000US,4001945100,440,136,0.31
1400000US,4001970200,1131,52,0.05
1400000US,4001970300,782,197,0.25
1400000US,4001970501,1043,109,0.1
1400000US,4001970502,1036,70,0.07
1400000US,4003000100,410,44,0.11
1400000US,4003000201,842,50,0.06
1400000US,4003000202,1022,236,0.23
1400000US,4003000203,753,88,0.12
1400000US,4003000301,1076,290,0.27
1400000US,4003000302,1209,92,0.08
1400000US,4003000303,1047,122,0.12
1400000US,4003000400,620,78,0.13
1400000US,4003000500,826,87,0.11
1400000US,4003000600,860,176,0.2
1400000US,4003000700,1048,349,0.33
1400000US,4003000800,908,158,0.17
1400000US,4003000901,500,223,0.45
1400000US,4003000902,456,201,0.44
1400000US,4003001000,250,66,0.26
1400000US,4003001100,915,199,0.22
1400000US,4003001200,726,176,0.24
1400000US,4003001300,1384,241,0.17
1400000US,4003001401,619,70,0.11
1400000US,4003001402,229,0,0
1400000US,4003001501,751,75,0.1
1400000US,4003001502,975,268,0.27
1400000US,4003001601,1494,249,0.17
1400000US,4003001602,792,125,0.16
1400000US,4003001701,947,111,0.12
1400000US,4003001702,876,223,0.25
1400000US,4003001703,1203,20,0.02
1400000US,4003001800,3011,144,0.05
1400000US,4003001900,2152,59,0.03
1400000US,4003002001,1585,278,0.18
1400000US,4003002002,1489,60,0.04
1400000US,4003002100,1675,110,0.07
1400000US,4005000100,943,38,0.04
1400000US,4005000200,723,38,0.05
1400000US,4005000300,1546,339,0.22
1400000US,4005000400,1286,124,0.1
1400000US,4005000500,838,84,0.1
1400000US,4005000600,1451,39,0.03
1400000US,4005000700,874,62,0.07
1400000US,4005000800,552,93,0.17
1400000US,4005000900,1443,107,0.07
1400000US,4005001000,105,50,0.48
1400000US,4005001101,1022,76,0.07
1400000US,4005001102,1625,273,0.17
1400000US,4005001200,567,23,0.04
1400000US,4005001301,1366,53,0.04
1400000US,4005001302,1436,95,0.07
1400000US,4005001500,870,37,0.04
1400000US,4005001600,977,108,0.11
1400000US,4005001700,987,212,0.21
1400000US,4005002000,474,61,0.13
1400000US,4005002100,1788,291,0.16
1400000US,4005002200,2057,143,0.07
1400000US,4005002300,1267,65,0.05
1400000US,4005942201,754,190,0.25
1400000US,4005942202,711,253,0.36
1400000US,4005944900,1007,272,0.27
1400000US,4005945000,941,355,0.38
1400000US,4005945100,779,196,0.25
1400000US,4005945200,1064,243,0.23
1400000US,4007000100,774,25,0.03
1400000US,4007000200,604,36,0.06
1400000US,4007000301,1760,117,0.07
1400000US,4007000302,876,140,0.16
1400000US,4007000400,1326,81,0.06
1400000US,4007000500,1496,191,0.13
1400000US,4007000600,287,40,0.14
1400000US,4007000700,532,72,0.14
1400000US,4007000800,355,52,0.15
1400000US,4007000900,789,143,0.18
1400000US,4007001000,1425,334,0.23
