STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
04,013,618300,04013618300,6183,Census Tract 6183,G5020,S,1413808,0,+33.6433998,-112.1431656
04,013,116605,04013116605,1166.05,Census Tract 1166.05,G5020,S,2581154,0,+33.3848158,-112.1596188
04,013,116606,04013116606,1166.06,Census Tract 1166.06,G5020,S,2577692,0,+33.3848675,-112.1423292
04,013,811200,04013811200,8112,Census Tract 8112,G5020,S,2703576,0,+33.2986821,-111.8852410
04,013,216848,04013216848,2168.48,Census Tract 2168.48,G5020,S,13398918,0,+33.5928636,-111.7877587
04,013,216851,04013216851,2168.51,Census Tract 2168.51,G5020,S,56061345,1298,+33.6681878,-111.8225123
04,013,613000,04013613000,6130,Census Tract 6130,G5020,S,10028385,1855,+33.7793097,-111.9569306
04,013,619100,04013619100,6191,Census Tract 6191,G5020,S,326530,0,+33.6439454,-112.0633645
04,013,811400,04013811400,8114,Census Tract 8114,G5020,S,2588950,0,+33.3135974,-111.8154715
04,013,093001,04013093001,930.01,Census Tract 930.01,G5020,S,1433450,642,+33.5338273,-112.1606547
04,013,815700,04013815700,8157,Census Tract 8157,G5020,S,2121114,0,+33.2859707,-111.7135109
04,013,816700,04013816700,8167,Census Tract 8167,G5020,S,2839848,0,+33.2572261,-111.6776263
04,013,980100,04013980100,9801,Census Tract 9801,G5020,S,2912703561,6913,+32.7253646,-112.9041112
04,013,611300,04013611300,6113,Census Tract 6113,G5020,S,56135264,33838,+33.7800563,-112.1502101
04,013,092717,04013092717,927.17,Census Tract 927.17,G5020,S,1297313,0,+33.5345116,-112.2117591
04,013,116609,04013116609,1166.09,Census Tract 1166.09,G5020,S,7861100,0,+33.3551974,-112.1771339
04,013,117100,04013117100,1171,Census Tract 1171,G5020,S,1594700,10062,+33.4991021,-112.0751243
04,013,117300,04013117300,1173,Census Tract 1173,G5020,S,8070694,100686,+33.4200630,-112.1144023
04,013,811800,04013811800,8118,Census Tract 8118,G5020,S,2730195,0,+33.2836997,-111.8848699
04,013,116607,04013116607,1166.07,Census Tract 1166.07,G5020,S,2583290,722,+33.3990267,-112.1233480
04,013,116608,04013116608,1166.08,Census Tract 1166.08,G5020,S,6855599,604,+33.3671923,-112.2025579
04,013,319104,04013319104,3191.04,Census Tract 3191.04,G5020,S,1287859,0,+33.4111438,-111.9176863
04,013,116610,04013116610,1166.10,Census Tract 1166.10,G5020,S,5050446,103256,+33.3687260,-112.1508815
04,013,116611,04013116611,1166.11,Census Tract 1166.11,G5020,S,12657202,0,+33.3438650,-112.1537874
04,013,116612,04013116612,1166.12,Census Tract 1166.12,G5020,S,7769288,0,+33.3704008,-112.1258060
04,013,116613,04013116613,1166.13,Census Tract 1166.13,G5020,S,7727809,0,+33.3746295,-112.1052606
04,013,815400,04013815400,8154,Census Tract 8154,G5020,S,10646288,8299,+33.2897903,-111.7502749
04,013,815500,04013815500,8155,Census Tract 8155,G5020,S,5170393,2736,+33.3017166,-111.7377974
04,013,815600,04013815600,8156,Census Tract 8156,G5020,S,5256926,7894,+33.2970780,-111.7002879
04,013,815900,04013815900,8159,Census Tract 8159,G5020,S,11816623,0,+33.2640582,-111.7579586
04,013,422641,04013422641,4226.41,Census Tract 4226.41,G5020,S,7720892,804,+33.3540139,-111.6583571
04,013,422642,04013422642,4226.42,Census Tract 4226.42,G5020,S,2574303,0,+33.3718082,-111.6274308
04,003,002001,04003002001,20.01,Census Tract 20.01,G5020,S,22044788,13364,+31.4782518,-110.2320563
04,015,951602,04015951602,9516.02,Census Tract 9516.02,G5020,S,2490099,218536,+35.1138649,-114.6234881
04,027,000907,04027000907,9.07,Census Tract 9.07,G5020,S,4386852,8575,+32.6782693,-114.6520091
04,013,092718,04013092718,927.18,Census Tract 927.18,G5020,S,1300438,0,+33.5272643,-112.2118198
04,013,092720,04013092720,927.20,Census Tract 927.20,G5020,S,23746624,7662,+33.5282486,-112.2763289
04,013,092723,04013092723,927.23,Census Tract 927.23,G5020,S,2589403,0,+33.5582420,-112.2983535
04,013,092724,04013092724,927.24,Census Tract 927.24,G5020,S,2564076,0,+33.5584144,-112.2811568
04,013,092802,04013092802,928.02,Census Tract 928.02,G5020,S,1259328,0,+33.5275918,-112.1946753
04,013,093002,04013093002,930.02,Census Tract 930.02,G5020,S,1112562,0,+33.5273071,-112.1592116
04,013,093106,04013093106,931.06,Census Tract 931.06,G5020,S,1276132,0,+33.5130397,-112.1947390
04,013,050607,04013050607,506.07,Census Tract 506.07,G5020,S,83142774,0,+33.3862894,-112.6276085
04,013,060904,04013060904,609.04,Census Tract 609.04,G5020,S,1449549,0,+33.6016641,-112.3110134
04,013,216831,04013216831,2168.31,Census Tract 2168.31,G5020,S,4731236,0,+33.5912791,-111.9270634
